PS	GeneID
10	RS015516-PA
12	RS015583-PA
17	RS015443-PA
17	RS015446-PA
17	RS015478-PA
17	RS015499-PA
17	RS015560-PA
17	RS015578-PA
17	RS015581-PA
17	RS100003-PA
1	RS015447-PA
1	RS015448-PA
1	RS015453-PA
1	RS015456-PA
1	RS015459-PA
1	RS015461-PA
1	RS015462-PA
1	RS015464-PA
1	RS015467-PA
1	RS015477-PA
1	RS015483-PA
1	RS015486-PA
1	RS015487-PA
1	RS015488-PA
1	RS015490-PA
1	RS015493-PA
1	RS015496-PA
1	RS015500-PA
1	RS015504-PA
1	RS015505-PA
1	RS015506-PA
1	RS015507-PA
1	RS015508-PA
1	RS015510-PA
1	RS015514-PA
1	RS015517-PA
1	RS015521-PA
1	RS015522-PA
1	RS015523-PA
1	RS015524-PA
1	RS015527-PA
1	RS015535-PA
1	RS015536-PA
1	RS015537-PA
1	RS015539-PA
1	RS015540-PA
1	RS015542-PA
1	RS015549-PA
1	RS015552-PA
1	RS015553-PA
1	RS015559-PA
1	RS015561-PA
1	RS015563-PA
1	RS015570-PA
1	RS015571-PA
1	RS015575-PA
1	RS015576-PA
1	RS100005-PA
1	RS100006-PA
1	RS100007-PA
1	RS100008-PA
1	RS100009-PA
1	RS100010-PA
1	RS100011-PA
1	RS100012-PA
1	RS100013-PA
1	RS100014-PA
1	RS100015-PA
1	RS100016-PA
1	RS100017-PA
1	RS100018-PA
1	RS100019-PA
1	RS100020-PA
1	RS100027-PA
21	RS015584-PA
21	RS100021-PA
25	RS015445-PA
25	RS015452-PA
25	RS015454-PA
25	RS015455-PA
25	RS015457-PA
25	RS015460-PA
25	RS015463-PA
25	RS015465-PA
25	RS015466-PA
25	RS015468-PA
25	RS015469-PA
25	RS015476-PA
25	RS015479-PA
25	RS015480-PA
25	RS015481-PA
25	RS015484-PA
25	RS015491-PA
25	RS015494-PA
25	RS015497-PA
25	RS015502-PA
25	RS015503-PA
25	RS015511-PA
25	RS015518-PA
25	RS015528-PA
25	RS015529-PA
25	RS015532-PA
25	RS015533-PA
25	RS015534-PA
25	RS015548-PA
25	RS015556-PA
25	RS015565-PA
25	RS015568-PA
25	RS015577-PA
25	RS015580-PA
25	RS015582-PA
2	RS015449-PA
2	RS015451-PA
2	RS015472-PA
2	RS015475-PA
2	RS015482-PA
2	RS015485-PA
2	RS015489-PA
2	RS015492-PA
2	RS015498-PA
2	RS015509-PA
2	RS015520-PA
2	RS015525-PA
2	RS015526-PA
2	RS015531-PA
2	RS015538-PA
2	RS015541-PA
2	RS015543-PA
2	RS015550-PA
2	RS015557-PA
2	RS015558-PA
2	RS015564-PA
2	RS015566-PA
2	RS015567-PA
2	RS015569-PA
2	RS015572-PA
2	RS015573-PA
2	RS015574-PA
3	RS015471-PA
3	RS015512-PA
3	RS015519-PA
4	RS015450-PA
4	RS015470-PA
4	RS015515-PA
4	RS015530-PA
4	RS015551-PA
5	RS015444-PA
5	RS015473-PA
5	RS015495-PA
5	RS015546-PA
5	RS015547-PA
5	RS015554-PA
5	RS015562-PA
6	RS015458-PA
6	RS015474-PA
6	RS015501-PA
6	RS015544-PA
6	RS015545-PA
6	RS015555-PA
6	RS015579-PA
6	RS100001-PA
6	RS100002-PA
6	RS100004-PA
6	RS100022-PA
6	RS100023-PA
6	RS100024-PA
6	RS100025-PA
6	RS100026-PA
7	RS015513-PA
12	RS001446-PA
12	RS001447-PA
12	RS001498-PA
17	RS001436-PA
17	RS001449-PA
17	RS001455-PA
17	RS001464-PA
17	RS001465-PA
17	RS001496-PA
17	RS001504-PA
17	RS001505-PA
17	RS001507-PA
17	RS001546-PA
17	RS001547-PA
1	RS001418-PA
1	RS001419-PA
1	RS001420-PA
1	RS001421-PA
1	RS001422-PA
1	RS001423-PA
1	RS001425-PA
1	RS001430-PA
1	RS001431-PA
1	RS001432-PA
1	RS001433-PA
1	RS001439-PA
1	RS001440-PA
1	RS001442-PA
1	RS001454-PA
1	RS001460-PA
1	RS001462-PA
1	RS001471-PA
1	RS001473-PA
1	RS001475-PA
1	RS001480-PA
1	RS001482-PA
1	RS001484-PA
1	RS001490-PA
1	RS001492-PA
1	RS001501-PA
1	RS001511-PA
1	RS001514-PA
1	RS001519-PA
1	RS001520-PA
1	RS001522-PA
1	RS001532-PA
1	RS001533-PA
1	RS001535-PA
1	RS001539-PA
1	RS001541-PA
1	RS001542-PA
1	RS001543-PA
1	RS001544-PA
1	RS001553-PA
1	RS001555-PA
1	RS001558-PA
1	RS001559-PA
1	RS001560-PA
21	RS001499-PA
25	RS001437-PA
25	RS001453-PA
25	RS001456-PA
25	RS001458-PA
25	RS001467-PA
25	RS001470-PA
25	RS001479-PA
25	RS001489-PA
25	RS001493-PA
25	RS001494-PA
25	RS001502-PA
25	RS001506-PA
25	RS001508-PA
25	RS001510-PA
25	RS001517-PA
25	RS001529-PA
25	RS001530-PA
25	RS001537-PA
25	RS001540-PA
25	RS001549-PA
25	RS001550-PA
25	RS001551-PA
25	RS001556-PA
25	RS001561-PA
2	RS001424-PA
2	RS001428-PA
2	RS001435-PA
2	RS001448-PA
2	RS001450-PA
2	RS001459-PA
2	RS001461-PA
2	RS001463-PA
2	RS001468-PA
2	RS001469-PA
2	RS001472-PA
2	RS001474-PA
2	RS001477-PA
2	RS001478-PA
2	RS001485-PA
2	RS001486-PA
2	RS001487-PA
2	RS001491-PA
2	RS001495-PA
2	RS001500-PA
2	RS001503-PA
2	RS001512-PA
2	RS001513-PA
2	RS001515-PA
2	RS001516-PA
2	RS001518-PA
2	RS001525-PA
2	RS001526-PA
2	RS001527-PA
2	RS001531-PA
2	RS001534-PA
2	RS001545-PA
2	RS001548-PA
2	RS001552-PA
2	RS001554-PA
2	RS001557-PA
3	RS001426-PA
3	RS001451-PA
4	RS001427-PA
4	RS001434-PA
4	RS001444-PA
4	RS001452-PA
4	RS001476-PA
4	RS001483-PA
4	RS001497-PA
4	RS001523-PA
4	RS001538-PA
5	RS001457-PA
5	RS001481-PA
5	RS001536-PA
6	RS001429-PA
6	RS001438-PA
6	RS001441-PA
6	RS001443-PA
6	RS001445-PA
6	RS001466-PA
6	RS001488-PA
6	RS001509-PA
6	RS001521-PA
6	RS001524-PA
6	RS001528-PA
12	RS001625-PA
12	RS001626-PA
17	RS001577-PA
17	RS001578-PA
17	RS001599-PA
17	RS001600-PA
17	RS001601-PA
17	RS001606-PA
17	RS001607-PA
17	RS001608-PA
17	RS001609-PA
17	RS001613-PA
17	RS001634-PA
17	RS001643-PA
17	RS001646-PA
17	RS001718-PA
1	RS001562-PA
1	RS001565-PA
1	RS001567-PA
1	RS001568-PA
1	RS001569-PA
1	RS001570-PA
1	RS001576-PA
1	RS001583-PA
1	RS001584-PA
1	RS001586-PA
1	RS001589-PA
1	RS001590-PA
1	RS001592-PA
1	RS001595-PA
1	RS001616-PA
1	RS001618-PA
1	RS001619-PA
1	RS001621-PA
1	RS001622-PA
1	RS001628-PA
1	RS001630-PA
1	RS001631-PA
1	RS001633-PA
1	RS001635-PA
1	RS001637-PA
1	RS001639-PA
1	RS001641-PA
1	RS001645-PA
1	RS001650-PA
1	RS001651-PA
1	RS001654-PA
1	RS001656-PA
1	RS001668-PA
1	RS001669-PA
1	RS001671-PA
1	RS001672-PA
1	RS001674-PA
1	RS001682-PA
1	RS001689-PA
1	RS001690-PA
1	RS001692-PA
1	RS001693-PA
1	RS001694-PA
1	RS001695-PA
1	RS001696-PA
1	RS001697-PA
1	RS001698-PA
1	RS001701-PA
1	RS001705-PA
1	RS001706-PA
1	RS001711-PA
1	RS001713-PA
1	RS001719-PA
1	RS001720-PA
1	RS001721-PA
1	RS001722-PA
1	RS001728-PA
25	RS001564-PA
25	RS001573-PA
25	RS001574-PA
25	RS001575-PA
25	RS001587-PA
25	RS001593-PA
25	RS001603-PA
25	RS001604-PA
25	RS001611-PA
25	RS001612-PA
25	RS001617-PA
25	RS001624-PA
25	RS001627-PA
25	RS001640-PA
25	RS001647-PA
25	RS001648-PA
25	RS001652-PA
25	RS001653-PA
25	RS001659-PA
25	RS001660-PA
25	RS001661-PA
25	RS001664-PA
25	RS001665-PA
25	RS001670-PA
25	RS001675-PA
25	RS001676-PA
25	RS001679-PA
25	RS001688-PA
25	RS001699-PA
25	RS001700-PA
25	RS001703-PA
25	RS001704-PA
25	RS001707-PA
25	RS001714-PA
25	RS001716-PA
2	RS001563-PA
2	RS001566-PA
2	RS001571-PA
2	RS001572-PA
2	RS001580-PA
2	RS001591-PA
2	RS001594-PA
2	RS001596-PA
2	RS001597-PA
2	RS001598-PA
2	RS001605-PA
2	RS001615-PA
2	RS001636-PA
2	RS001638-PA
2	RS001644-PA
2	RS001649-PA
2	RS001655-PA
2	RS001657-PA
2	RS001658-PA
2	RS001662-PA
2	RS001666-PA
2	RS001673-PA
2	RS001681-PA
2	RS001683-PA
2	RS001684-PA
2	RS001686-PA
2	RS001687-PA
2	RS001691-PA
2	RS001708-PA
2	RS001710-PA
2	RS001715-PA
2	RS001724-PA
2	RS001725-PA
2	RS001726-PA
2	RS001727-PA
3	RS001610-PA
3	RS001614-PA
3	RS001680-PA
3	RS001709-PA
3	RS001712-PA
3	RS001723-PA
4	RS001579-PA
4	RS001582-PA
4	RS001588-PA
