PS	GeneID
10	Mnat_14782
10	Mnat_14790
10	Mnat_14809
12	Mnat_14789
12	Mnat_14808
17	Mnat_02991
17	Mnat_14738
17	Mnat_14747
17	Mnat_14768
17	Mnat_14785
17	Mnat_14861
17	Mnat_14864
1	Mnat_02985
1	Mnat_02986
1	Mnat_02987
1	Mnat_02994
1	Mnat_02995
1	Mnat_14744
1	Mnat_14746
1	Mnat_14748
1	Mnat_14749
1	Mnat_14750
1	Mnat_14752
1	Mnat_14754
1	Mnat_14755
1	Mnat_14760
1	Mnat_14766
1	Mnat_14787
1	Mnat_14791
1	Mnat_14793
1	Mnat_14795
1	Mnat_14817
1	Mnat_14825
1	Mnat_14828
1	Mnat_14832
1	Mnat_14834
1	Mnat_14835
1	Mnat_14837
1	Mnat_14839
1	Mnat_14840
1	Mnat_14845
1	Mnat_14847
1	Mnat_14849
1	Mnat_14851
1	Mnat_14854
1	Mnat_14855
1	Mnat_14857
1	Mnat_14865
1	Mnat_14866
1	Mnat_17510
1	Mnat_17755
1	Mnat_18011
1	Mnat_18116
23	Mnat_02984
23	Mnat_03000
23	Mnat_14742
23	Mnat_14745
23	Mnat_14753
23	Mnat_14783
23	Mnat_14794
23	Mnat_14800
23	Mnat_14819
23	Mnat_14822
23	Mnat_14827
23	Mnat_14836
23	Mnat_14841
23	Mnat_14862
23	Mnat_14869
23	Mnat_17504
23	Mnat_17508
23	Mnat_17509
2	Mnat_02989
2	Mnat_02993
2	Mnat_02996
2	Mnat_02998
2	Mnat_02999
2	Mnat_03001
2	Mnat_03004
2	Mnat_14739
2	Mnat_14740
2	Mnat_14741
2	Mnat_14756
2	Mnat_14757
2	Mnat_14759
2	Mnat_14764
2	Mnat_14765
2	Mnat_14769
2	Mnat_14770
2	Mnat_14781
2	Mnat_14784
2	Mnat_14788
2	Mnat_14796
2	Mnat_14797
2	Mnat_14798
2	Mnat_14806
2	Mnat_14812
2	Mnat_14814
2	Mnat_14815
2	Mnat_14816
2	Mnat_14818
2	Mnat_14838
2	Mnat_14843
2	Mnat_14844
2	Mnat_14848
2	Mnat_14850
2	Mnat_14856
2	Mnat_14859
2	Mnat_17503
2	Mnat_17507
2	Mnat_18010
3	Mnat_14758
3	Mnat_14820
3	Mnat_14831
3	Mnat_14852
4	Mnat_14743
4	Mnat_14763
4	Mnat_14775
4	Mnat_14786
4	Mnat_14810
4	Mnat_14813
4	Mnat_14829
4	Mnat_14830
4	Mnat_14863
5	Mnat_02988
5	Mnat_02992
5	Mnat_14737
5	Mnat_14751
5	Mnat_14762
5	Mnat_14767
5	Mnat_14776
5	Mnat_14778
5	Mnat_14801
5	Mnat_14802
5	Mnat_14805
5	Mnat_14826
5	Mnat_14833
5	Mnat_14842
5	Mnat_14846
5	Mnat_14860
5	Mnat_14868
5	Mnat_17512
6	Mnat_03002
6	Mnat_03003
6	Mnat_14792
6	Mnat_14807
6	Mnat_14824
6	Mnat_17506
12	Mnat_03459
12	Mnat_15842
17	Mnat_03436
17	Mnat_03442
17	Mnat_03451
17	Mnat_03466
17	Mnat_03493
17	Mnat_03494
17	Mnat_15816
17	Mnat_15817
17	Mnat_15818
17	Mnat_15836
17	Mnat_15840
1	Mnat_03415
1	Mnat_03419
1	Mnat_03431
1	Mnat_03432
1	Mnat_03444
1	Mnat_03446
1	Mnat_03450
1	Mnat_03461
1	Mnat_03462
1	Mnat_03464
1	Mnat_03497
1	Mnat_03499
1	Mnat_03500
1	Mnat_03501
1	Mnat_03504
1	Mnat_03510
1	Mnat_03520
1	Mnat_03521
1	Mnat_03523
