PS	GeneID
10	evm.model.original_scaffold_978.6
10	evm.model.original_scaffold_9944.8
10	evm.model.original_scaffold_9979.2
12	evm.model.original_scaffold_9944.13
17	evm.model.original_scaffold_9738.15
17	evm.model.original_scaffold_9764.1
17	evm.model.original_scaffold_9857.1
17	evm.model.original_scaffold_9894.43
17	evm.model.original_scaffold_9936.1
1	evm.model.original_scaffold_9749.1
1	evm.model.original_scaffold_976.2
1	evm.model.original_scaffold_976.5
1	evm.model.original_scaffold_978.1
1	evm.model.original_scaffold_978.10
1	evm.model.original_scaffold_978.12
1	evm.model.original_scaffold_978.16
1	evm.model.original_scaffold_9831.10
1	evm.model.original_scaffold_9831.4
1	evm.model.original_scaffold_9870.2
1	evm.model.original_scaffold_9890.6
1	evm.model.original_scaffold_9894.13
1	evm.model.original_scaffold_9894.14
1	evm.model.original_scaffold_9894.19
1	evm.model.original_scaffold_9894.22
1	evm.model.original_scaffold_9894.23
1	evm.model.original_scaffold_9894.25
1	evm.model.original_scaffold_9894.27
1	evm.model.original_scaffold_9894.29
1	evm.model.original_scaffold_9894.30
1	evm.model.original_scaffold_9894.31
1	evm.model.original_scaffold_9894.36
1	evm.model.original_scaffold_9894.37
1	evm.model.original_scaffold_9894.38
1	evm.model.original_scaffold_9894.42
1	evm.model.original_scaffold_9894.45
1	evm.model.original_scaffold_9894.46
1	evm.model.original_scaffold_9919.2
1	evm.model.original_scaffold_9940.2
1	evm.model.original_scaffold_9940.3
1	evm.model.original_scaffold_9940.4
1	evm.model.original_scaffold_9944.1
1	evm.model.original_scaffold_9944.11
1	evm.model.original_scaffold_9944.14
1	evm.model.original_scaffold_9944.17
1	evm.model.original_scaffold_9944.19
1	evm.model.original_scaffold_9944.20
1	evm.model.original_scaffold_9944.22
1	evm.model.original_scaffold_9944.23
1	evm.model.original_scaffold_9944.26
1	evm.model.original_scaffold_9979.1
1	evm.model.original_scaffold_9989.1
24	evm.model.original_scaffold_9738.16
24	evm.model.original_scaffold_9853.2
24	evm.model.original_scaffold_9870.1
24	evm.model.original_scaffold_9870.5
24	evm.model.original_scaffold_9894.34
2	evm.model.original_scaffold_9738.13
2	evm.model.original_scaffold_9738.14
2	evm.model.original_scaffold_976.1
2	evm.model.original_scaffold_976.3
2	evm.model.original_scaffold_978.11
2	evm.model.original_scaffold_978.13
2	evm.model.original_scaffold_978.15
2	evm.model.original_scaffold_978.2
2	evm.model.original_scaffold_978.4
2	evm.model.original_scaffold_978.5
2	evm.model.original_scaffold_978.8
2	evm.model.original_scaffold_978.9
2	evm.model.original_scaffold_9789.1
2	evm.model.original_scaffold_9831.5
2	evm.model.original_scaffold_9831.6
2	evm.model.original_scaffold_9831.7
2	evm.model.original_scaffold_9831.9
2	evm.model.original_scaffold_9841.2
2	evm.model.original_scaffold_9854.1
2	evm.model.original_scaffold_9870.3
2	evm.model.original_scaffold_9870.4
2	evm.model.original_scaffold_9870.6
2	evm.model.original_scaffold_9890.5
2	evm.model.original_scaffold_9894.1
2	evm.model.original_scaffold_9894.10
2	evm.model.original_scaffold_9894.15
2	evm.model.original_scaffold_9894.17
2	evm.model.original_scaffold_9894.18
2	evm.model.original_scaffold_9894.2
2	evm.model.original_scaffold_9894.21
2	evm.model.original_scaffold_9894.26
2	evm.model.original_scaffold_9894.28
2	evm.model.original_scaffold_9894.4
2	evm.model.original_scaffold_9894.41
2	evm.model.original_scaffold_9894.5
2	evm.model.original_scaffold_9894.6
2	evm.model.original_scaffold_9894.7
2	evm.model.original_scaffold_9894.8
