PS	GeneID
10	Znev_15483
10	Znev_17670
12	Znev_07368
12	Znev_11366
17	Znev_06299
17	Znev_11327
17	Znev_11360
17	Znev_11878
17	Znev_11883
17	Znev_12722
17	Znev_17671
17	Znev_19044
1	Znev_06282
1	Znev_06285
1	Znev_06294
1	Znev_06296
1	Znev_06300
1	Znev_06301
1	Znev_06304
1	Znev_06305
1	Znev_07355
1	Znev_07357
1	Znev_07359
1	Znev_07360
1	Znev_07362
1	Znev_07364
1	Znev_11328
1	Znev_11335
1	Znev_11870
1	Znev_11874
1	Znev_11879
1	Znev_11882
1	Znev_12029
1	Znev_12030
1	Znev_12040
1	Znev_12077
1	Znev_12080
1	Znev_12081
1	Znev_12083
1	Znev_12084
1	Znev_12085
1	Znev_12088
1	Znev_12092
1	Znev_12714
1	Znev_12715
1	Znev_12717
1	Znev_12720
1	Znev_15482
1	Znev_17130
1	Znev_17672
1	Znev_17673
1	Znev_18052
1	Znev_18366
25	Znev_06286
25	Znev_06293
25	Znev_07353
25	Znev_07354
25	Znev_07356
25	Znev_07366
25	Znev_07371
25	Znev_07380
25	Znev_07381
25	Znev_07382
25	Znev_11324
25	Znev_11325
25	Znev_11333
25	Znev_11334
25	Znev_11357
25	Znev_11361
25	Znev_11363
25	Znev_11371
25	Znev_11872
25	Znev_12031
25	Znev_12033
25	Znev_12042
25	Znev_12044
25	Znev_12079
25	Znev_12086
25	Znev_12087
25	Znev_12719
25	Znev_15857
2	Znev_06278
2	Znev_06279
2	Znev_06280
2	Znev_06287
2	Znev_06289
2	Znev_06290
2	Znev_06291
2	Znev_06295
2	Znev_06307
2	Znev_06308
2	Znev_06309
2	Znev_06312
2	Znev_07358
2	Znev_07363
2	Znev_07365
2	Znev_07367
2	Znev_07370
2	Znev_07373
2	Znev_07374
2	Znev_07377
2	Znev_07379
2	Znev_11326
2	Znev_11336
2	Znev_11355
2	Znev_11356
2	Znev_11365
2	Znev_11869
2	Znev_11871
2	Znev_11880
2	Znev_12032
2	Znev_12035
2	Znev_12036
2	Znev_12041
2	Znev_12082
2	Znev_12090
2	Znev_12718
2	Znev_12721
2	Znev_17132
2	Znev_18317
2	Znev_18365
2	Znev_19045
3	Znev_06292
3	Znev_12712
4	Znev_06284
4	Znev_06297
4	Znev_07375
4	Znev_11367
4	Znev_11370
4	Znev_11876
4	Znev_12037
4	Znev_12038
4	Znev_17131
4	Znev_18054
5	Znev_07384
5	Znev_12039
5	Znev_12091
6	Znev_06288
6	Znev_06298
6	Znev_06306
6	Znev_07361
6	Znev_11330
6	Znev_11331
6	Znev_11372
6	Znev_11875
6	Znev_11877
6	Znev_11881
6	Znev_11884
6	Znev_12089
6	Znev_12713
6	Znev_16363
10	Znev_05205
10	Znev_05208
12	Znev_05214
12	Znev_12164
12	Znev_12166
17	Znev_03938
17	Znev_03943
17	Znev_05220
17	Znev_12165
17	Znev_17014
17	Znev_18254
17	Znev_18475
1	Znev_03929
1	Znev_03933
1	Znev_03934
1	Znev_03937
1	Znev_03939
1	Znev_03941
1	Znev_03942
1	Znev_05193
1	Znev_05195
1	Znev_05196
1	Znev_05199
1	Znev_05200
1	Znev_05210
1	Znev_05215
1	Znev_05218
1	Znev_05223
1	Znev_07984
1	Znev_07987
1	Znev_12158
1	Znev_12160
1	Znev_12167
1	Znev_12169
1	Znev_13221
1	Znev_13226
1	Znev_13228
1	Znev_13880
1	Znev_13881
1	Znev_13882
1	Znev_13904
1	Znev_13926
1	Znev_13928
1	Znev_13930
1	Znev_13931
1	Znev_14589
1	Znev_14590
1	Znev_14592
1	Znev_14788
1	Znev_14792
1	Znev_15215
1	Znev_15267
1	Znev_15620
1	Znev_15860
1	Znev_15885
1	Znev_15950
1	Znev_18298
1	Znev_18637
1	Znev_19054
25	Znev_03936
25	Znev_03940
25	Znev_03944
25	Znev_05187
25	Znev_05190
25	Znev_05207
25	Znev_05212
25	Znev_05213
25	Znev_05224
25	Znev_12157
25	Znev_13225
25	Znev_13885
25	Znev_13897
25	Znev_13898
25	Znev_13899
25	Znev_13903
25	Znev_14591
25	Znev_14789
25	Znev_15217
25	Znev_15621
25	Znev_15622
25	Znev_15760
25	Znev_15859
25	Znev_15886
25	Znev_15909
2	Znev_03930
2	Znev_03931
2	Znev_03932
2	Znev_03935
2	Znev_05188
2	Znev_05189
2	Znev_05191
2	Znev_05192
2	Znev_05197
2	Znev_05198
2	Znev_05201
2	Znev_05202
2	Znev_05204
2	Znev_05211
2	Znev_05216
2	Znev_05219
2	Znev_05222
2	Znev_07983
2	Znev_12168
2	Znev_12170
2	Znev_12171
2	Znev_12172
2	Znev_13220
2	Znev_13883
2	Znev_13884
2	Znev_13886
2	Znev_13905
2	Znev_13924
2	Znev_13925
2	Znev_13929
2	Znev_14787
2	Znev_14790
2	Znev_15268
2	Znev_15763
2	Znev_15764
2	Znev_15910
2	Znev_17985
2	Znev_18253
2	Znev_18742
3	Znev_05206
3	Znev_12163
3	Znev_13223
3	Znev_13879
3	Znev_14588
4	Znev_05194
4	Znev_07981
4	Znev_07982
4	Znev_13902
5	Znev_05209
5	Znev_12162
5	Znev_14594
5	Znev_17016
5	Znev_17017
5	Znev_17984
5	Znev_18202
6	Znev_05185
6	Znev_05221
6	Znev_07986
6	Znev_13219
6	Znev_13887
6	Znev_13927
6	Znev_15270
6	Znev_17015
7	Znev_12161
10	Znev_17169
12	Znev_08007
17	Znev_01435
17	Znev_01436
17	Znev_01438
17	Znev_01477
17	Znev_01478
17	Znev_01487
17	Znev_07657
17	Znev_07991
17	Znev_08006
1	Znev_01434
1	Znev_01440
1	Znev_01441
1	Znev_01442
1	Znev_01446
1	Znev_01447
1	Znev_01455
1	Znev_01456
1	Znev_01461
1	Znev_01464
1	Znev_01465
1	Znev_01466
1	Znev_01468
1	Znev_01472
1	Znev_01474
1	Znev_01479
1	Znev_01480
1	Znev_01481
1	Znev_01484
1	Znev_01486
1	Znev_01490
1	Znev_01495
1	Znev_07642
1	Znev_07644
1	Znev_07646
1	Znev_07649
1	Znev_07651
1	Znev_07655
1	Znev_07658
1	Znev_07659
1	Znev_07660
1	Znev_07988
1	Znev_07990
1	Znev_07992
1	Znev_07993
1	Znev_07994
1	Znev_07996
1	Znev_07998
1	Znev_07999
1	Znev_08000
1	Znev_08001
1	Znev_08003
1	Znev_08009
1	Znev_14089
1	Znev_14613
1	Znev_14614
1	Znev_14616
1	Znev_14770
1	Znev_14773
1	Znev_14774
1	Znev_15056
1	Znev_15907
1	Znev_17164
1	Znev_17166
1	Znev_17168
1	Znev_17521
25	Znev_01445
25	Znev_01450
25	Znev_01458
25	Znev_01463
25	Znev_01469
25	Znev_01475
25	Znev_01494
25	Znev_01496
25	Znev_07667
25	Znev_07670
25	Znev_07671
25	Znev_07989
25	Znev_08002
25	Znev_14088
25	Znev_14615
25	Znev_14769
25	Znev_15057
25	Znev_15861
2	Znev_01437
2	Znev_01439
2	Znev_01451
2	Znev_01453
2	Znev_01459
2	Znev_01460
2	Znev_01471
2	Znev_01473
2	Znev_01476
2	Znev_01493
2	Znev_07645
2	Znev_07648
2	Znev_07653
2	Znev_07656
2	Znev_07662
2	Znev_07672
2	Znev_07995
2	Znev_08004
2	Znev_08005
2	Znev_08010
2	Znev_14617
2	Znev_14618
2	Znev_15058
2	Znev_15862
2	Znev_15908
2	Znev_16198
2	Znev_17167
2	Znev_17522
2	Znev_18835
3	Znev_01443
3	Znev_01462
3	Znev_01470
3	Znev_01489
3	Znev_01491
3	Znev_07643
3	Znev_07665
4	Znev_01452
4	Znev_01467
4	Znev_01488
4	Znev_01492
4	Znev_07650
4	Znev_07654
4	Znev_07666
4	Znev_14086
4	Znev_17520
5	Znev_01444
5	Znev_07664
5	Znev_08008
5	Znev_14087
6	Znev_01433
6	Znev_01448
6	Znev_01457
6	Znev_01483
6	Znev_07641
6	Znev_07663
6	Znev_07668
6	Znev_07997
6	Znev_14772
6	Znev_16216
6	Znev_17165
6	Znev_17519
12	Znev_03515
17	Znev_03501
17	Znev_03510
17	Znev_04900
17	Znev_04903
17	Znev_04930
17	Znev_04934
17	Znev_04937
17	Znev_09710
17	Znev_09720
17	Znev_09721
17	Znev_14406
17	Znev_14636
1	Znev_03494
1	Znev_03495
1	Znev_03496
1	Znev_03497
1	Znev_03505
1	Znev_03507
1	Znev_03509
1	Znev_03511
1	Znev_03516
1	Znev_03519
1	Znev_03525
1	Znev_03530
1	Znev_03531
1	Znev_03542
1	Znev_03543
1	Znev_04904
1	Znev_04905
1	Znev_04907
1	Znev_04910
1	Znev_04916
1	Znev_04918
1	Znev_04921
1	Znev_04923
1	Znev_04924
1	Znev_04933
1	Znev_04935
1	Znev_04936
1	Znev_09704
1	Znev_09711
1	Znev_09713
1	Znev_09714
1	Znev_09715
1	Znev_09718
1	Znev_14170
1	Znev_14171
1	Znev_14172
1	Znev_14174
1	Znev_14632
1	Znev_15565
1	Znev_16226
1	Znev_16932
1	Znev_16933
1	Znev_16934
1	Znev_16936
1	Znev_17854
1	Znev_17855
25	Znev_03498
25	Znev_03503
25	Znev_03522
25	Znev_03528
25	Znev_03529
25	Znev_03535
25	Znev_03538
25	Znev_04901
25	Znev_04909
25	Znev_04913
25	Znev_04927
25	Znev_09707
25	Znev_09716
25	Znev_09722
25	Znev_09725
25	Znev_14094
25	Znev_14173
25	Znev_14175
25	Znev_15563
25	Znev_15627
25	Znev_15628
2	Znev_03493
2	Znev_03502
2	Znev_03508
2	Znev_03514
2	Znev_03517
2	Znev_03518
2	Znev_03520
2	Znev_03521
2	Znev_03523
2	Znev_03527
2	Znev_03536
2	Znev_03537
2	Znev_03544
2	Znev_04899
2	Znev_04902
2	Znev_04914
2	Znev_04915
2	Znev_04922
2	Znev_04925
2	Znev_04928
2	Znev_04929
2	Znev_04932
2	Znev_09705
2	Znev_09706
2	Znev_09708
2	Znev_09709
2	Znev_09719
2	Znev_09723
2	Znev_09724
2	Znev_14092
2	Znev_14168
2	Znev_14169
2	Znev_14407
2	Znev_14410
2	Znev_14412
2	Znev_14631
2	Znev_14634
2	Znev_14635
2	Znev_16935
2	Znev_17819
2	Znev_18181
2	Znev_18795
2	Znev_18797
3	Znev_03513
3	Znev_03540
3	Znev_04911
3	Znev_04920
3	Znev_14091
3	Znev_14409
3	Znev_16103
4	Znev_03504
4	Znev_04931
4	Znev_14633
4	Znev_16931
5	Znev_03524
5	Znev_04906
5	Znev_17100
5	Znev_18517
6	Znev_03512
6	Znev_03541
6	Znev_04912
6	Znev_04919
6	Znev_15564
6	Znev_16930
6	Znev_17820
6	Znev_17856
10	Znev_15062
17	Znev_04433
17	Znev_05279
17	Znev_05301
17	Znev_13522
17	Znev_13526
17	Znev_15724
17	Znev_17338
17	Znev_18654
17	Znev_18836
17	Znev_18837
17	Znev_19055
17	Znev_19056
1	Znev_02006
1	Znev_02009
1	Znev_04416
1	Znev_04417
1	Znev_04420
1	Znev_04425
1	Znev_04432
1	Znev_04434
1	Znev_04435
1	Znev_04440
1	Znev_04441
1	Znev_04442
1	Znev_04444
1	Znev_04447
1	Znev_04455
1	Znev_04457
1	Znev_04940
1	Znev_05265
1	Znev_05266
1	Znev_05268
1	Znev_05269
1	Znev_05273
1	Znev_05276
1	Znev_05278
1	Znev_05281
1	Znev_05283
1	Znev_05284
1	Znev_05287
1	Znev_05288
1	Znev_05292
1	Znev_05296
1	Znev_05302
1	Znev_13525
1	Znev_13528
1	Znev_14017
1	Znev_14020
1	Znev_14492
1	Znev_14493
1	Znev_14885
1	Znev_14886
1	Znev_15335
1	Znev_15336
1	Znev_15740
1	Znev_15983
1	Znev_16291
1	Znev_16417
1	Znev_17299
1	Znev_17301
1	Znev_17302
25	Znev_04423
25	Znev_04428
25	Znev_04431
25	Znev_04443
25	Znev_04450
25	Znev_04459
25	Znev_05272
25	Znev_05291
25	Znev_05294
25	Znev_05297
25	Znev_05300
25	Znev_13519
25	Znev_13520
25	Znev_13521
25	Znev_13527
25	Znev_14490
25	Znev_14887
25	Znev_14888
25	Znev_15059
25	Znev_15063
25	Znev_15338
25	Znev_15739
25	Znev_15897
25	Znev_15898
25	Znev_15948
25	Znev_15984
2	Znev_04422
2	Znev_04424
2	Znev_04426
2	Znev_04436
2	Znev_04438
2	Znev_04439
2	Znev_04446
2	Znev_04448
2	Znev_04449
2	Znev_04454
2	Znev_04456
2	Znev_04460
2	Znev_04939
2	Znev_05270
2	Znev_05280
2	Znev_05289
2	Znev_05290
2	Znev_05293
2	Znev_05295
2	Znev_05298
2	Znev_05299
2	Znev_13523
2	Znev_14494
2	Znev_14722
2	Znev_14723
2	Znev_14725
2	Znev_14884
2	Znev_15060
2	Znev_15061
2	Znev_15723
2	Znev_15947
2	Znev_16199
2	Znev_17334
2	Znev_17335
2	Znev_18412
3	Znev_02010
3	Znev_04418
3	Znev_04452
3	Znev_04453
3	Znev_04938
3	Znev_14495
3	Znev_14724
3	Znev_14726
3	Znev_17300
4	Znev_02007
4	Znev_04419
4	Znev_04421
4	Znev_04430
4	Znev_05275
4	Znev_05282
4	Znev_05286
4	Znev_14019
4	Znev_17103
4	Znev_18411
5	Znev_04458
5	Znev_05267
5	Znev_05277
5	Znev_05285
5	Znev_14018
5	Znev_14721
5	Znev_16152
5	Znev_17885
5	Znev_17886
6	Znev_02008
6	Znev_04415
6	Znev_05303
6	Znev_14491
6	Znev_15337
6	Znev_16136
6	Znev_17336
8	Znev_15722
10	Znev_02016
12	Znev_02017
12	Znev_02018
12	Znev_02020
12	Znev_02021
17	Znev_02019
17	Znev_02278
17	Znev_02287
17	Znev_02297
17	Znev_02310
17	Znev_09598
17	Znev_14364
17	Znev_17209
17	Znev_18417
17	Znev_18744
17	Znev_18838
1	Znev_02014
1	Znev_02015
1	Znev_02025
1	Znev_02027
1	Znev_02028
1	Znev_02033
1	Znev_02035
1	Znev_02039
1	Znev_02042
1	Znev_02044
1	Znev_02048
1	Znev_02051
1	Znev_02052
1	Znev_02053
1	Znev_02055
1	Znev_02059
1	Znev_02060
1	Znev_02063
1	Znev_02064
1	Znev_02253
1	Znev_02257
1	Znev_02258
1	Znev_02259
1	Znev_02270
1	Znev_02271
1	Znev_02276
1	Znev_02281
1	Znev_02282
1	Znev_02283
1	Znev_02284
1	Znev_02288
1	Znev_02289
1	Znev_02293
1	Znev_02294
1	Znev_02295
1	Znev_02303
1	Znev_02306
1	Znev_09599
1	Znev_09601
1	Znev_09608
1	Znev_15882
1	Znev_17206
1	Znev_17207
1	Znev_17369
25	Znev_02011
25	Znev_02013
25	Znev_02022
25	Znev_02024
25	Znev_02030
25	Znev_02034
25	Znev_02058
25	Znev_02251
25	Znev_02255
25	Znev_02256
25	Znev_02260
25	Znev_02268
25	Znev_02272
25	Znev_02274
25	Znev_02285
25	Znev_02290
25	Znev_02298
25	Znev_02299
25	Znev_02304
25	Znev_09589
25	Znev_09600
25	Znev_09603
25	Znev_09605
25	Znev_09607
25	Znev_09609
25	Znev_09610
25	Znev_09611
25	Znev_14360
25	Znev_14362
25	Znev_14366
25	Znev_14367
25	Znev_14793
25	Znev_14798
25	Znev_15726
25	Znev_15727
25	Znev_16161
2	Znev_02012
2	Znev_02023
2	Znev_02029
2	Znev_02032
2	Znev_02040
2	Znev_02054
2	Znev_02062
2	Znev_02252
2	Znev_02254
2	Znev_02261
2	Znev_02262
2	Znev_02263
2	Znev_02264
2	Znev_02266
2	Znev_02269
2	Znev_02280
2	Znev_02291
2	Znev_02292
2	Znev_02300
2	Znev_02302
2	Znev_02305
2	Znev_02307
2	Znev_02308
2	Znev_02309
2	Znev_09591
2	Znev_09593
2	Znev_09594
2	Znev_09595
2	Znev_09604
2	Znev_10259
2	Znev_14361
2	Znev_14794
2	Znev_14795
2	Znev_14796
2	Znev_15001
2	Znev_15003
2	Znev_15725
2	Znev_15881
2	Znev_16315
2	Znev_16369
2	Znev_17210
2	Znev_17211
2	Znev_17372
2	Znev_18635
2	Znev_18665
3	Znev_02038
3	Znev_02043
3	Znev_02273
4	Znev_02037
4	Znev_02066
4	Znev_02067
4	Znev_02277
4	Znev_02279
5	Znev_02047
5	Znev_09597
5	Znev_10260
5	Znev_14365
5	Znev_14999
5	Znev_17208
6	Znev_02026
6	Znev_02041
6	Znev_02046
6	Znev_02049
6	Znev_02050
6	Znev_02056
6	Znev_02057
6	Znev_02267
6	Znev_02275
6	Znev_02286
6	Znev_09592
6	Znev_15000
12	Znev_05165
12	Znev_19057
17	Znev_05145
17	Znev_05171
17	Znev_12964
17	Znev_12965
17	Znev_12968
17	Znev_13399
17	Znev_14332
17	Znev_15126
17	Znev_15805
17	Znev_16305
1	Znev_03121
1	Znev_03124
1	Znev_03126
1	Znev_03131
1	Znev_03132
1	Znev_03134
1	Znev_03136
1	Znev_03137
1	Znev_03142
1	Znev_03143
1	Znev_03147
1	Znev_03150
1	Znev_03153
1	Znev_05146
1	Znev_05149
1	Znev_05150
1	Znev_05151
1	Znev_05152
1	Znev_05153
1	Znev_05161
1	Znev_05163
1	Znev_05170
1	Znev_05173
1	Znev_05174
1	Znev_05175
1	Znev_05178
1	Znev_05179
1	Znev_05183
1	Znev_05184
1	Znev_10261
1	Znev_10264
1	Znev_10273
1	Znev_10278
1	Znev_12967
1	Znev_12973
1	Znev_12974
1	Znev_13405
1	Znev_14331
1	Znev_14333
1	Znev_14335
1	Znev_14933
1	Znev_15124
1	Znev_15125
1	Znev_15645
1	Znev_15790
1	Znev_16259
1	Znev_17651
1	Znev_18583
25	Znev_03120
25	Znev_03122
25	Znev_03130
25	Znev_03152
25	Znev_05155
25	Znev_05159
25	Znev_05168
25	Znev_05172
25	Znev_05177
25	Znev_05181
25	Znev_10266
25	Znev_10267
25	Znev_10269
25	Znev_10277
25	Znev_12969
25	Znev_13403
25	Znev_13404
25	Znev_14329
25	Znev_14330
25	Znev_14931
25	Znev_15010
25	Znev_15012
25	Znev_15644
25	Znev_15646
25	Znev_15806
25	Znev_15880
25	Znev_18839
2	Znev_03118
2	Znev_03123
2	Znev_03125
2	Znev_03127
2	Znev_03133
2	Znev_03135
2	Znev_03138
2	Znev_03140
2	Znev_03141
2	Znev_03144
2	Znev_03145
2	Znev_03149
2	Znev_05147
2	Znev_05148
2	Znev_05156
2	Znev_05157
2	Znev_05169
2	Znev_05180
2	Znev_10262
2	Znev_10268
2	Znev_12966
2	Znev_13395
2	Znev_13398
2	Znev_14328
2	Znev_14334
2	Znev_14930
2	Znev_15013
2	Znev_15128
2	Znev_15680
2	Znev_15681
2	Znev_15808
2	Znev_16147
2	Znev_16202
2	Znev_16979
2	Znev_16980
2	Znev_16981
2	Znev_17652
2	Znev_17653
2	Znev_18442
2	Znev_18504
3	Znev_03151
4	Znev_03146
4	Znev_05158
4	Znev_10279
4	Znev_12963
