# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
10	exact solution	fission	PF00009 PF03144 | PF00679 PF06421	PF00009 PF03144 PF00679 PF06421
10	exact solution	fission	PF00018 PF00017 PF07714 | PF08919	PF00018 PF00017 PF07714 PF08919
10	exact solution	fission	PF00053 PF00052 | PF00053	PF00053 PF00052 PF00053
10	exact solution	fission	PF00063 PF00612 | PF00784 PF00373 PF00784 PF00373	PF00063 PF00612 PF00784 PF00373 PF00784 PF00373
10	exact solution	fission	PF00063 | PF00612 PF01843	PF00063 PF00612 PF01843
10	exact solution	fission	PF00069 | PF02149	PF00069 PF02149
10	exact solution	fission	PF00069 | PF18190 PF18409	PF00069 PF18190 PF18409
10	exact solution	fission	PF00076 | PF00658	PF00076 PF00658
10	exact solution	fission	PF00096 | PF13465	PF00096 PF13465
10	exact solution	fission	PF00109 PF02801 PF16197 | PF00698 PF14765	PF00109 PF02801 PF16197 PF00698 PF14765
10	exact solution	fission	PF00134 | PF02984	PF00134 PF02984
10	exact solution	fission	PF00226 | PF07743	PF00226 PF07743
10	exact solution	fission	PF00271 | PF04408	PF00271 PF04408
10	exact solution	fission	PF00289 PF02786 PF02785 PF00364 PF08326 | PF01039	PF00289 PF02786 PF02785 PF00364 PF08326 PF01039
10	exact solution	fission	PF00289 PF02786 PF02785 PF00364 | PF08326 PF01039	PF00289 PF02786 PF02785 PF00364 PF08326 PF01039
10	exact solution	fission	PF00324 | PF03522	PF00324 PF03522
10	exact solution	fission	PF00350 | PF01031 PF00169 PF02212	PF00350 PF01031 PF00169 PF02212
10	exact solution	fission	PF00400 | PF12234 PF00400	PF00400 PF12234 PF00400
10	exact solution	fission	PF00415 | PF13540	PF00415 PF13540
10	exact solution	fission	PF00520 PF11933 PF00520 PF06512 | PF00520	PF00520 PF11933 PF00520 PF06512 PF00520
10	exact solution	fission	PF00566 | PF15733	PF00566 PF15733
10	exact solution	fission	PF00611 PF00620 | PF00018	PF00611 PF00620 PF00018
10	exact solution	fission	PF00621 | PF19057 PF19056	PF00621 PF19057 PF19056
10	exact solution	fission	PF00651 PF07707 | PF08005	PF00651 PF07707 PF08005
10	exact solution	fission	PF00651 | PF09237	PF00651 PF09237
10	exact solution	fission	PF00675 PF05193 | PF16187 PF05193	PF00675 PF05193 PF16187 PF05193
10	exact solution	fission	PF00763 | PF02882 PF01268	PF00763 PF02882 PF01268
10	exact solution	fission	PF00930 | PF00326	PF00930 PF00326
10	exact solution	fission	PF00982 | PF02358	PF00982 PF02358
10	exact solution	fission	PF01074 | PF09261 PF07748	PF01074 PF09261 PF07748
10	exact solution	fission	PF01266 | PF16901 PF13499	PF01266 PF16901 PF13499
10	exact solution	fission	PF01347 PF09172 | PF06448 PF00094	PF01347 PF09172 PF06448 PF00094
10	exact solution	fission	PF01411 | PF07973 PF02272	PF01411 PF07973 PF02272
10	exact solution	fission	PF01417 | PF10193	PF01417 PF10193
10	exact solution	fission	PF01424 | PF12752	PF01424 PF12752
10	exact solution	fission	PF01562 PF01421 PF17771 | PF00090 PF05986 PF19030	PF01562 PF01421 PF17771 PF00090 PF05986 PF19030
10	exact solution	fission	PF01562 | PF01421 PF17771 PF00090 PF05986 PF19030	PF01562 PF01421 PF17771 PF00090 PF05986 PF19030
10	exact solution	fission	PF01562 | PF13688 PF00200 PF16698	PF01562 PF13688 PF00200 PF16698
10	exact solution	fission	PF01602 | PF02883	PF01602 PF02883
10	exact solution	fission	PF01663 | PF04987	PF01663 PF04987
10	exact solution	fission	PF01749 | PF00514 PF16186	PF01749 PF00514 PF16186
10	exact solution	fission	PF01805 PF12230 | PF00240	PF01805 PF12230 PF00240
10	exact solution	fission	PF01825 | PF00002	PF01825 PF00002
10	exact solution	fission	PF02170 | PF02171	PF02170 PF02171
10	exact solution	fission	PF02210 | PF16184	PF02210 PF16184
10	exact solution	fission	PF02319 | PF16421	PF02319 PF16421
10	exact solution	fission	PF02770 | PF01756	PF02770 PF01756
10	exact solution	fission	PF02824 PF07973 | PF00587 PF03129	PF02824 PF07973 PF00587 PF03129
